Date;Page;Titre abr.;Type Format;Type Contenu;Type Signature;Signature exacte;Observation
02.03.1880;4;nouvelles étrangères. France;info;inter;;;
02.03.1880;4;nouvelles suisses;info;actu;;;
02.03.1880;4;;dep;;;;
02.03.1880;4;;dep;;;;
02.03.1880;4;;dep;;;;
02.03.1880;4;;dep;;;;
02.03.1880;4;;dep;;;;
02.03.1880;4;;dep;;;;
02.03.1880;4;;dep;;;;
02.03.1880;4;canton de vaud;info;actu;;;
02.03.1880;4;;info;actu;;;
02.03.1880;4;;info;judiciaire;;;
02.03.1880;4;lausanne;info;actu;;;
02.03.1880;4;;info;judiciaire;;;
02.03.1880;4;;info;actu;;;
02.03.1880;4;;info;actu;;;
02.03.1880;4;faits divers;info;actu;;;
02.09.1880;3;Nouvelles étrangères;info;inter;;;
02.09.1880;3;nouvelles suisses;info;pol;;;
02.09.1880;4;canton de vaud;info;actu;;;
02.09.1880;4;;info;actu;;;
02.09.1880;4;;info;actu;;;
02.09.1880;4;;info;actu;autre;(Ami de Morges);
02.09.1880;4;lausanne;info;pol;abr;R.;
02.09.1880;4;;info;comm;;;
02.09.1880;4;;info;actu;;;
02.09.1880;4;;corr;comm;;Le Corps de musique de Lausanne.;
02.09.1880;4;;corr;comm;;J. Cettour;
03.03.1890;2;Nouvelles étrangères;corr;inter;;;
03.03.1890;2;;info;inter;;;
03.03.1890;2;nouvelles suisses;info;pol;;;
03.03.1890;2;;info;pol;;;
03.03.1890;2;berne;info;pol;;;
03.03.1890;2;;info;judiciaire;;;
03.03.1890;2;;info;actu;;;
03.03.1890;2;;corr;actu;;;
03.03.1890;2;;info;culture;;;
03.03.1890;2;jura-simplon;info;actu;;;
03.03.1890;4;Nouvelles étrangères;info;inter;;;
03.03.1890;4;;info;inter;;;
03.03.1890;4;;info;inter;;;
03.03.1890;4;;info;inter;;;
03.03.1890;4;;info;inter;;;
03.03.1890;4;;info;inter;;;
03.03.1890;4;;info;inter;;;
03.03.1890;4;;info;inter;;;
03.03.1890;5;;info;inter;;;
03.03.1890;5;nouvelles suisses;info;pol;;;
03.03.1890;5;;info;pol;;;
03.03.1890;5;;info;pol;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;judiciaire;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;pol;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;pol;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;;info;actu;;;
03.03.1890;5;canton de vaud;info;pol;;;
03.03.1890;5;Lausanne. Conseil communal;info;pol;;;
03.03.1890;5;;info;comm;;;
03.03.1890;5;;info;pol;;;
03.03.1890;5;;info;pol;;;
03.03.1890;5;;info;pol;;;
03.03.1890;5;;info;comm;;;
03.03.1890;5;;corr;actu;;;
03.03.1890;5;;info;comm;;;
03.03.1890;6;;info;comm;;;
03.03.1890;6;;info;comm;;;
03.03.1890;6;;info;pol;;;
03.03.1890;6;;info;comm;;;
03.03.1890;6;;info;actu;;;
03.03.1890;6;;info;actu;;;
03.03.1890;6;dernièrs;info;inter;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;dep;;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;info;inter;;;
03.03.1890;6;;info;inter;;;
02.09.1890;2;Nouvelles étrangères;info;inter;;;
02.09.1890;2;;info;actu;;;
02.09.1890;2;;info;inter;;;
02.09.1890;2;;info;inter;;;
02.09.1890;2;;info;inter;;;
02.09.1890;2;;info;inter;;;
02.09.1890;2;;info;inter;;;
02.09.1890;2;nouvelles suisses;info;actu;;;
02.09.1890;2;;info;actu;;;
02.09.1890;2;;info;actu;;;
02.09.1890;2;;info;comm;;;
02.09.1890;2;;info;comm;;;
02.09.1890;2;;corr;actu;;;
02.09.1890;2;;info;actu;;;
02.09.1890;2;;info;actu;;;
02.09.1890;2;;info;actu;;;
02.09.1890;2;;info;inter;;;
02.09.1890;2;;info;culture;;;
02.09.1890;4;Nouvelles étrangères;info;inter;;;
02.09.1890;5;;info;inter;;;
02.09.1890;5;;info;inter;;;
02.09.1890;5;nouvelles suisses;info;pol;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;canton de vaud;info;pol;;;
02.09.1890;5;;info;pol;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;;info;actu;;;
02.09.1890;5;lausanne;info;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;5;;corr;actu;;;
02.09.1890;6;;corr;actu;;;
02.09.1890;6;;info;actu;;;
02.09.1890;6;;info;actu;;;
02.09.1890;6;;info;actu;;;
02.09.1890;6;;info;actu;;;
