Date;Page;Titre abr.;Type Format;Type Contenu;Type Signature;Signature exacte;Observation
2.03.1870;1;laus, 1 mars;ed;pol;;;éditorial assez court
2.03.1870;1;conf suisse;info;pol;;;corr part
2.03.1870;1;conf suisse;info;pol;;;
2.03.1870;2;conf suisse;info;pol;;;
2.03.1870;2;conf suisse;corr;pol;;;
2.03.1870;2;conf suisse;info;pol;;;
2.03.1870;2;nouvelles etrangeres France;info;inter;;;
2.03.1870;2;ita;info;inter;;;
2.03.1870;2;all;info;inter;;;
2.03.1870;2;corresp paris;corr;inter;;;
2.03.1870;3;canton de vaud;info;pol;;;
2.03.1870;3;canton de vaud;corr;pol;;;
2.03.1870;3;dernier courrier;dep;;;;
2.03.1870;3;;dep;;;;
2.03.1870;3;;dep;;;;
2.03.1870;3;;dep;;;;
2.03.1870;3;;dep;;;;
2.03.1870;3;;dep;;;;
2.03.1870;3;;dep;;;;
2.03.1870;3;;dep;;;;
2.03.1870;3;;dep;;;;
2.03.1870;3;dep;dep;;;;
2.03.1870;3;;dep;;;;
2.09.1870;1;courrier;ed;inter;;;
2.09.1870;1;corresp etran;corr;inter;;;
2.09.1870;1;chronique ;info;inter;;;
2.09.1870;2;corresp etran;corr;inter;;;
2.09.1870;2;corre;corr;inter;;;
2.09.1870;2;conf suisse;info;pol;;;
2.09.1870;2;conf suisse;info;pol;;;
2.09.1870;2;valais;info;pol;;;
2.09.1870;2;valais;info;pol;;;
2.09.1870;2;chronique agricole;chronique;inter;;;
2.09.1870;3;chronique générale;corr;inter;;;
2.09.1870;3;;chronique;;;;
2.09.1870;3;dep;dep;;;;
2.09.1870;3;;dep;;;;
2.09.1870;3;;dep;;;;
2.09.1870;3;;dep;;;;
2.09.1870;3;;dep;;;;
2.09.1870;3;;dep;;;;
2.09.1870;3;;dep;;;;
2.09.1870;3;;dep;;;;
2.03.1880;1;le tunnel;ed;pol;;;
2.03.1880;1;France;info;inter;;;
2.03.1880;1;France;info;inter;;;
2.03.1880;1;France;info;inter;;;
2.03.1880;2;France;info;inter;;;
2.03.1880;2;France;info;culture;;;
2.03.1880;2;Italie;info;inter;;;
2.03.1880;2;esp;info;inter;;;
2.03.1880;2;all;info;inter;;;
2.03.1880;2;aut;info;inter;;;
2.03.1880;2;russ;info;inter;;;
2.03.1880;2;tsch;info;inter;;;
2.03.1880;2;perse;info;inter;;;
2.03.1880;2;afghan;info;inter;;;
2.03.1880;2;conf suisse;info;comm;;;
2.03.1880;2;conf suisse;info;actu;;;
2.03.1880;2;conf suisse;info;comm;;;
2.03.1880;2;affaire de stabio;corr;judiciaire;;;
2.03.1880;3;corresp ;corr;pol;;;
2.03.1880;3;berne;corr;pol;;;
2.03.1880;3;canton de vaud;info;comm;;;
