d9862230a73d82bb9354ff70d51f0eb0a40baed5813190eed9d8a6943e69d0dcc139b814ec4af9582b5896ff586ad5eafbd3ebf7a230675818a97b0529d8bd90
ID,nom,apparitions,dates,
1,P. G.,13,2.9.1940; 4.9.1940; 5.9.1940; 6.9.1940; 10.9.1940; 11.9.1940; 13.9.1940; 18.9.1940; 19.9.1940; 20.9.1940; 25.9.1940; 26.9.1940; 27.9.1940,
2,P. S. M.,10,2.9.1940; 4.9.1940; 10.9.1940; 12.9.1940; 13.9.1940; 18.9.1940; 25.9.1940; 26.9.1940; 27.9.1940; 28.9.1940,
3,Edm. R.,9,2.9.1940; 5.9.1940; 9.9.1940; 12.9.1940; 16.9.1940; 19.9.1940; 23.9.1940; 26.9.1940; 30.9.1940,
4,Robert Vaucher,9,2.9.1940; 4.9.1940; 7.9.1940; 10.9.1940; 14.9.1940; 19.9.1940; 26.9.1940; 27.9.1940; 28.9.1940,
5,S. P.,8,5.9.1940; 10.9.1940; 12.9.1940; 16.9.1940; 17.9.1940; 18.9.1940; 20.9.1940; 23.9.1940,
6,Ae.,7,7.9.1940; 10.9.1940; 18.9.1940; 19.9.1940; 23.9.1940; 28.9.1940; 30.9.1940,
7,R. de C.,7,9.9.1940; 12.9.1940; 17.9.1940; 20.9.1940; 25.9.1940; 26.9.1940; 27.9.1940,
8,Jean Nicollier,5,2.9.1940; 6.9.1940; 8.9.1940; 12.9.1940; 29.9.1940,
9,G. R.,4,11.9.1940; 14.9.1940; 17.9.1940; 25.9.1940,
10,M. P.,4,2.9.1940; 9.9.1940; 20.9.1940; 23.9.1940; 30.9.1940,
11,J. Nr.,3,19.9.1940; 29.9.1940; 30.9.1940,
12,M. Aeschimann,3,5.9.1940; 11.9.1940; 28.9.1940,
13,P. F.,3,12.9.1940; 18.9.1940; 20.9.1940,
14,P. Gentizon,3,6.9.1940; 14.9.1940; 25.9.1940,
15,B. V.,2,7.9.1940; 23.9.1940; 30.9.1940,
16,Bd.,2,4.9.1940; 20.9.1940,
17,E. Th.,2,20.9.1940; 27.9.1940,
18,Edmond Jaloux,2,3.9.1940; 29.9.1940,
19,Emmanuel Buenzod,2,1.9.1940; 8.9.1940,
20,F.,2,13.9.1940; 20.9.1940,
21,Henri-L. Miéville,2,8.9.1940; 15.9.1940,
22,Paul Decorvet,2,17.9.1940; 27.9.1940,
23,R.,2,10.9.1940; 27.9.1940,
24,Rochat-Cenise,2,17.9.1940; 23.9.1940,
25,A. P.,1,18.9.1940,
26,A. Rudolf,1,18.9.1940,
27,Ag. L.,1,19.9.1940,
28,Agénor Krafft,1,9.9.1940,
29,Alfred Dufour,1,18.9.1940,
30,Ay. de M.,1,27.9.1940,
31,B.,1,27.9.1940,
32,C. B.,1,27.9.1940,
33,C. Dentan,1,18.9.1940,
34,C.-F. Ramuz,1,2.9.1940,
35,Ch. Fi.,1,9.9.1940,
36,Charles Gos,1,15.9.1940,
37,Charly Clerc,1,15.9.1940,
38,D.,1,2.9.1940,
39,Dorette Berthoud,1,1.9.1940,
40,Dr Max Gafner,1,30.9.1940,
41,Dr Taillens,1,25.9.1940,
42,E. J.,1,10.9.1940,
43,E. Marion,1,15.9.1940,
44,Edmond Rolle,1,13.9.1940,
45,Emilie Biaggi,1,13.9.1940,
46,Ern. D.,1,27.9.1940,
47,F. C.,1,23.9.1940,
48,F. M.,1,10.9.1940,
49,Forel,1,13.9.1940,
50,Fred.-A. de Luze,1,11.9.1940,
51,G.,1,2.9.1940,
52,g.,1,14.9.1940,
53,Gabriel Rauch,1,14.9.1940,
54,Georges Rigassi,1,12.9.1940,
55,Gustave Doret,1,1.9.1940,
56,Henri Fast,1,16.9.1940,
57,Hermann Lang,1,3.9.1940,
58,Hugues Faesi,1,26.9.1940,
59,I. M. d’A.,1,18.9.1940,
60,J.,1,8.9.1940,
61,J. et O. M.,1,16.9.1940,
62,J. Fy.,1,2.9.1940,
63,J. M. C.,1,9.9.1940,
64,J.-E. Chable,1,7.9.1940,
65,Jean Blaisy,1,27.9.1940,
66,Jean Gabus,1,29.9.1940,
67,Jean Kloniger,1,3.9.1940,
68,Julien Gruaz,1,1.9.1940,
69,L. Annen,1,27.9.1940,
70,Lieut-col. R. F.,1,17.9.1940,
71,Léo Du Pasquier,1,30.9.1940,
72,M. Gallay,1,13.9.1940,
73,P. Cha.,1,6.9.1940,
74,P. Mo.,1,2.9.1940,
75,Pierre Deslandes,1,1.9.1940,
76,René Morax,1,16.9.1940,
77,Renée D.,1,25.9.1940,
78,Reynolds Packard,1,13.9.1940,
79,Sr.,1,2.9.1940,
80,Thomas Greenwood,1,23.9.1940,
81,Vy.,1,5.9.1940,
