data,giornale,type_presence,nota
1935-05-19,Gazette de Lausanne,Signature Dorette Berthoud,
1940-07-31,Gazette de Lausanne,Signature Dorette Berthoud,
1941-05-02,Gazette de Lausanne,Signature Dorette Berthoud,
1943-07-18,Gazette de Lausanne,Signature Dorette Berthoud,
1944-05-13,Gazette de Lausanne,Signature Dorette Berthoud,
1944-09-02,Gazette de Lausanne,Signature Dorette Berthoud,
1945-03-24,Gazette de Lausanne,Signature Dorette Berthoud,
1945-04-07,Gazette de Lausanne,Signature Dorette Berthoud,
1945-12-20,Gazette de Lausanne,Signature Dorette Berthoud,
1948-07-03,Gazette de Lausanne,Signature Dorette Berthoud,
