dorette_berthoud_JDG_dataset (1)
data,data_originale,giornale,firma_esatta
1944-05-13,13 mai 1944,Journal de Genève,Dorette Berthoud
1944-11-25,25 nov 1944,Journal de Genève,Dorette Berthoud
1945-02-10,10 fev 1945,Journal de Genève,Dorette Berthoud
1945-06-30,30 juin 1945,Journal de Genève,Dorette Berthoud
1945-10-27,27 oct 1945,Journal de Genève,Dorette Berthoud
1946-05-04,4 mai 1946,Journal de Genève,Dorette Berthoud
1947-06-07,7 juin 1947,Journal de Genève,Dorette Berthoud
1947-12-20,20 dec 1947,Journal de Genève,Dorette Berthoud
1948-09-18,18 sep 1948,Journal de Genève,Dorette Berthoud
1949-03-12,12 mars 1949,Journal de Genève,Dorette Berthoud
1949-03-28,28 mars 1949,Journal de Genève,Dorette Berthoud
1949-07-23,23 lug 1949,Journal de Genève,Dorette Berthoud
1949-10-01,1 oct 1949,Journal de Genève,Dorette Berthoud
1950-08-19,19 aout 1950,Journal de Genève,Dorette Berthoud
1951-02-17,17 fev 1951,Journal de Genève,Dorette Berthoud
1951-07-21,21 lug 1951,Journal de Genève,Dorette Berthoud
1951-11-01,1 nov 1951,Journal de Genève,Dorette Berthoud
1952-05-10,10 mai 1952,Journal de Genève,Dorette Berthoud
1952-07-12,12 juil 1952,Journal de Genève,Dorette Berthoud
1953-06-20,20 juin 1953,Journal de Genève,Dorette Berthoud
1953-07-20,20 lug 1953,Journal de Genève,Dorette Berthoud
1953-08-15,15 aout 1953,Journal de Genève,Dorette Berthoud
1953-10-17,17 oct 1953,Journal de Genève,Dorette Berthoud
1954-12-31,31 dec 1954,Journal de Genève,Dorette Berthoud
1955-12-24,24 dec 1955,Journal de Genève,Dorette Berthoud
1956-11-24,24 nov 1956,Journal de Genève,Dorette Berthoud
1958-11-29,29 nov 1958,Journal de Genève,Dorette Berthoud
1959-01-03,3 jan 1959,Journal de Genève,Dorette Berthoud
1959-02-07,7 fev 1959,Journal de Genève,Dorette Berthoud
1959-06-27,27 giu 1959,Journal de Genève,Dorette Berthoud
1959-11-14,14 nov 1959,Journal de Genève,Dorette Berthoud
1961-07-01,1 lug 1961,Journal de Genève,Dorette Berthoud
1961-09-16,16 sep 1961,Journal de Genève,Dorette Berthoud
1962-08-25,25 aout 1962,Journal de Genève,Dorette Berthoud
1963-03-30,30 mars 1963,Journal de Genève,Dorette Berthoud
1964-11-14,14 nov 1964,Journal de Genève,Dorette Berthoud
1964-12-26,26 dec 1964,Journal de Genève,Dorette Berthoud
1965-12-01,1 dec 1965,Journal de Genève,Dorette Berthoud
1966-08-06,6 aout 1966,Journal de Genève,Dorette Berthoud
1970-02-23,23 fev 1970,Journal de Genève,Dorette Berthoud
1970-08-18,18 aout 1970,Journal de Genève,Dorette Berthoud
1970-08-29,29 aout 1970,Journal de Genève,Dorette Berthoud
1970-08-31,31 aout 1970,Journal de Genève,Dorette Berthoud
1971-02-23,23 fev 1971,Journal de Genève,Dorette Berthoud
